[Mon Sep 26 21:07:23.451748 2022] [ssl:warn] [pid 10964:tid 760] AH01909: www.example.com:443:0 server certificate does NOT include an ID which matches the server name
[Mon Sep 26 21:07:24.012472 2022] [ssl:warn] [pid 10964:tid 760] AH01909: www.example.com:443:0 server certificate does NOT include an ID which matches the server name
[Mon Sep 26 21:07:24.532333 2022] [mpm_winnt:notice] [pid 10964:tid 760] AH00455: Apache/2.4.23 (Win32) OpenSSL/1.0.2h PHP/5.6.24 configured -- resuming normal operations
[Mon Sep 26 21:07:24.532333 2022] [mpm_winnt:notice] [pid 10964:tid 760] AH00456: Apache Lounge VC11 Server built: Jul  7 2016 11:13:22
[Tue Sep 27 00:58:44.816992 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55235] PHP Notice:  Undefined variable: sessionUsername in D:\\xampp\\htdocs\\index.php on line 60, referer: https://localhost/index.php
[Tue Sep 27 00:59:56.189681 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55242] script 'D:/xampp/htdocs/show_meals_week.php' not found or unable to stat, referer: https://localhost/index.php
[Tue Sep 27 00:59:57.961670 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55242] PHP Notice:  Undefined variable: navactive_home in D:\\xampp\\htdocs\\index.php on line 45, referer: https://localhost/index.php
[Tue Sep 27 00:59:57.961670 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55242] PHP Notice:  Undefined variable: navactive_all in D:\\xampp\\htdocs\\index.php on line 46, referer: https://localhost/index.php
[Tue Sep 27 00:59:57.961670 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55242] PHP Notice:  Undefined variable: navactive_veg in D:\\xampp\\htdocs\\index.php on line 47, referer: https://localhost/index.php
[Tue Sep 27 00:59:57.961670 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55242] PHP Warning:  include_once(admin_header.php): failed to open stream: No such file or directory in D:\\xampp\\htdocs\\index.php on line 55, referer: https://localhost/index.php
[Tue Sep 27 00:59:57.961670 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55242] PHP Warning:  include_once(): Failed opening 'admin_header.php' for inclusion (include_path='\\xampp\\php\\PEAR') in D:\\xampp\\htdocs\\index.php on line 55, referer: https://localhost/index.php
[Tue Sep 27 00:59:57.961670 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55242] PHP Notice:  Undefined variable: sessionUsername in D:\\xampp\\htdocs\\index.php on line 60, referer: https://localhost/index.php
[Tue Sep 27 01:01:25.995828 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55250] PHP Notice:  Undefined variable: navactive_home in D:\\xampp\\htdocs\\index.php on line 45, referer: https://localhost/index.php
[Tue Sep 27 01:01:25.995828 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55250] PHP Notice:  Undefined variable: navactive_all in D:\\xampp\\htdocs\\index.php on line 46, referer: https://localhost/index.php
[Tue Sep 27 01:01:25.995828 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55250] PHP Notice:  Undefined variable: navactive_veg in D:\\xampp\\htdocs\\index.php on line 47, referer: https://localhost/index.php
[Tue Sep 27 01:01:25.995828 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55250] PHP Warning:  include_once(admin_header.php): failed to open stream: No such file or directory in D:\\xampp\\htdocs\\index.php on line 55, referer: https://localhost/index.php
[Tue Sep 27 01:01:25.995828 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55250] PHP Warning:  include_once(): Failed opening 'admin_header.php' for inclusion (include_path='\\xampp\\php\\PEAR') in D:\\xampp\\htdocs\\index.php on line 55, referer: https://localhost/index.php
[Tue Sep 27 01:01:25.995828 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55250] PHP Notice:  Undefined variable: sessionUsername in D:\\xampp\\htdocs\\index.php on line 60, referer: https://localhost/index.php
[Tue Sep 27 01:01:48.784824 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55254] PHP Notice:  Undefined variable: navactive_home in D:\\xampp\\htdocs\\index.php on line 45, referer: https://localhost/index.php
[Tue Sep 27 01:01:48.784824 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55254] PHP Notice:  Undefined variable: navactive_all in D:\\xampp\\htdocs\\index.php on line 46, referer: https://localhost/index.php
[Tue Sep 27 01:01:48.784824 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55254] PHP Notice:  Undefined variable: navactive_veg in D:\\xampp\\htdocs\\index.php on line 47, referer: https://localhost/index.php
[Tue Sep 27 01:01:48.784824 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55254] PHP Warning:  include_once(admin_header.php): failed to open stream: No such file or directory in D:\\xampp\\htdocs\\index.php on line 50, referer: https://localhost/index.php
[Tue Sep 27 01:01:48.784824 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55254] PHP Warning:  include_once(): Failed opening 'admin_header.php' for inclusion (include_path='\\xampp\\php\\PEAR') in D:\\xampp\\htdocs\\index.php on line 50, referer: https://localhost/index.php
[Tue Sep 27 01:01:48.784824 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55254] PHP Notice:  Undefined variable: sessionUsername in D:\\xampp\\htdocs\\index.php on line 55, referer: https://localhost/index.php
[Tue Sep 27 01:01:53.498036 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55254] script 'D:/xampp/htdocs/login.php' not found or unable to stat, referer: https://localhost/index.php
[Tue Sep 27 01:01:55.790589 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55254] PHP Notice:  Undefined variable: navactive_home in D:\\xampp\\htdocs\\index.php on line 45, referer: https://localhost/index.php
[Tue Sep 27 01:01:55.790589 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55254] PHP Notice:  Undefined variable: navactive_all in D:\\xampp\\htdocs\\index.php on line 46, referer: https://localhost/index.php
[Tue Sep 27 01:01:55.790589 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55254] PHP Notice:  Undefined variable: navactive_veg in D:\\xampp\\htdocs\\index.php on line 47, referer: https://localhost/index.php
